Generation,cores,pop,GenerationFitness,GenerationTime
28,4,30,15265,107,
29,4,30,15265,110,
30,4,30,15265,89,
1,4,30,5,2,
2,4,30,6,1,
3,4,30,8,0,
4,4,30,8,0,
5,4,30,10,0,
6,4,30,10,0,
7,4,30,11,0,
8,4,30,11,0,
9,4,30,11,0,
10,4,30,17,0,
11,4,30,17,0,
12,4,30,17,0,
13,4,30,21,0,
14,4,30,27,0,
15,4,30,27,0,
16,4,30,27,0,
17,4,30,27,0,
18,4,30,28,0,
19,4,30,36,0,
20,4,30,47,0,
21,4,30,57,0,
22,4,30,67,0,
23,4,30,67,0,
24,4,30,67,0,
25,4,30,71,0,
26,4,30,84,1,
27,4,30,120,1,
28,4,30,146,1,
29,4,30,173,1,
30,4,30,173,1,
1,4,50,69,3,
2,4,50,73,2,
3,4,50,87,1,
4,4,50,111,1,
5,4,50,167,2,
6,4,50,222,2,
7,4,50,281,3,
8,4,50,419,4,
9,4,50,435,5,
10,4,50,936,14,
11,4,50,979,10,
12,4,50,1262,10,
13,4,50,1353,14,
14,4,50,1353,14,
15,4,50,1422,16,
16,4,50,1565,19,
17,4,50,1616,16,
18,4,50,1616,16,
19,4,50,1618,19,
20,4,50,2122,22,
21,4,50,2817,25,
22,4,50,2872,30,
23,4,50,3894,39,
24,4,50,7998,51,
25,4,50,7998,66,
26,4,50,11036,84,
27,4,50,11036,108,
28,4,50,11036,105,
29,4,50,11036,100,
30,4,50,11036,97,
1,4,50,16,3,
2,4,50,16,2,
3,4,50,44,1,
4,4,50,44,0,
5,4,50,70,1,
6,4,50,89,1,
7,4,50,141,1,
8,4,50,614,2,
9,4,50,614,4,
10,4,50,871,7,
11,4,50,1157,10,
12,4,50,1157,12,
13,4,50,3936,16,
14,4,50,5279,29,
15,4,50,8460,59,
16,4,50,10463,95,
17,4,50,10463,90,
18,4,50,10463,87,
19,4,50,10463,102,
20,4,50,13016,89,
21,4,50,13016,119,
22,4,50,13016,126,
23,4,50,14042,149,
24,4,50,14503,153,
25,4,50,16408,177,
26,4,50,16408,150,
27,4,50,17807,155,
28,4,50,17807,136,
29,4,50,21962,180,
30,4,50,21962,203,
1,4,50,8,3,
2,4,50,15,2,
3,4,50,34,0,
4,4,50,57,1,
5,4,50,62,1,
6,4,50,134,1,
7,4,50,182,2,
8,4,50,235,2,
9,4,50,288,4,
10,4,50,326,5,
11,4,50,476,5,
12,4,50,476,6,
13,4,50,538,5,
14,4,50,959,6,
15,4,50,959,10,
16,4,50,959,14,
17,4,50,1075,15,
18,4,50,1075,13,
19,4,50,1075,14,
20,4,50,1075,12,
21,4,50,1380,16,
22,4,50,2013,16,
23,4,50,2013,16,
24,4,50,2013,20,
25,4,50,2519,29,
26,4,50,3635,29,
27,4,50,3635,31,
28,4,50,3635,33,
29,4,50,3635,34,
30,4,50,3635,35,
1,4,50,17,3,
2,4,50,21,1,
3,4,50,43,1,
4,4,50,86,0,
5,4,50,154,1,
6,4,50,395,2,
7,4,50,395,4,
8,4,50,1949,6,
9,4,50,4062,16,
10,4,50,11076,44,
11,4,50,11076,72,
12,4,50,11077,104,
13,4,50,11511,112,
14,4,50,13556,134,
15,4,50,18884,153,
16,4,50,19119,160,
17,4,50,19119,171,
18,4,50,19119,188,
19,4,50,19119,186,
20,4,50,20747,182,
21,4,50,21195,206,
22,4,50,21195,205,
23,4,50,23788,260,
24,4,50,23788,262,
25,4,50,23788,236,
26,4,50,27724,258,
27,4,50,30955,309,
28,4,50,31695,279,
29,4,50,34809,261,
30,4,50,36269,341,
1,4,50,19,3,
2,4,50,33,2,
3,4,50,63,1,
4,4,50,69,1,
5,4,50,90,1,
