Fitness,Time,Weight1,Weight2,Weight3,Weight4,Weight5,Weight6,Weight7,Weight8,Weight9,Weight10,Weight11,Weight12,Weight13,Weight14
118647,966,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,842,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,810,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1060,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1044,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,968,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,976,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1016,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,808,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,833,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,865,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,885,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,1010,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,888,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,712,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
118647,881,-13.196120068349547,-23.39615741529087,-11.18299489916316,-7.656182490272921,-4.909513977815922,-6.460950496451032,-2.9786543181746685,-6.444382898676344,-5.539171589178806,-5.117953523069381,-3.2496832653234637,-5.4420285917576745,-3.9319388005998657,-6.802249532490295,
